ID,timepoint,posterior_mean,posterior_se,ci_2_5,ci_97_5
50,Y_t3,0.380605028716319,,0.380605028716319,0.380605028716319
52,Y_t2,1.126940493105797,,1.126940493105797,1.126940493105797
52,Y_t3,2.599290538019844,,2.599290538019844,2.599290538019844
53,Y_t2,-2.6739431932804187,,-2.6739431932804187,-2.6739431932804187
53,Y_t3,0.3071310008417834,,0.3071310008417834,0.3071310008417834
54,Y_t2,-1.9740938222151272,,-1.9740938222151272,-1.9740938222151272
54,Y_t3,0.4437421460839859,,0.4437421460839859,0.4437421460839859
56,Y_t2,-0.633360483028389,,-0.633360483028389,-0.633360483028389
56,Y_t3,8.697597104839758,,8.697597104839758,8.697597104839758
57,Y_t2,1.0251346370289105,,1.0251346370289105,1.0251346370289105
57,Y_t3,4.487982106141327,,4.487982106141327,4.487982106141327
58,Y_t2,3.3162634912455022,,3.3162634912455022,3.3162634912455022
58,Y_t3,2.3627611172590592,,2.3627611172590592,2.3627611172590592
59,Y_t2,1.5281792621913732,,1.5281792621913732,1.5281792621913732
59,Y_t3,3.438976707910105,,3.438976707910105,3.438976707910105
63,Y_t2,0.9628811915776114,,0.9628811915776114,0.9628811915776114
63,Y_t3,-2.585913320024132,,-2.585913320024132,-2.585913320024132
64,Y_t3,3.6102732462639784,,3.6102732462639784,3.6102732462639784
65,Y_t3,2.619612677020337,,2.619612677020337,2.619612677020337
66,Y_t3,-2.8186412962954415,,-2.8186412962954415,-2.8186412962954415
67,Y_t2,3.4827545421955555,,3.4827545421955555,3.4827545421955555
67,Y_t3,-0.7375557572029727,,-0.7375557572029727,-0.7375557572029727
68,Y_t2,-3.7965613121225013,,-3.7965613121225013,-3.7965613121225013
68,Y_t3,0.7948629779592847,,0.7948629779592847,0.7948629779592847
70,Y_t2,2.116839052087508,,2.116839052087508,2.116839052087508
70,Y_t3,0.842734557059156,,0.842734557059156,0.842734557059156
71,Y_t2,0.9028836445487278,,0.9028836445487278,0.9028836445487278
71,Y_t3,2.410466351840446,,2.410466351840446,2.410466351840446
72,Y_t3,2.6202260680878684,,2.6202260680878684,2.6202260680878684
73,Y_t2,2.478798771531509,,2.478798771531509,2.478798771531509
73,Y_t3,-0.48563713799255565,,-0.48563713799255565,-0.48563713799255565
77,Y_t3,3.9393318403176467,,3.9393318403176467,3.9393318403176467
79,Y_t3,0.7711272633724188,,0.7711272633724188,0.7711272633724188
81,Y_t2,3.0030669154625524,,3.0030669154625524,3.0030669154625524
81,Y_t3,-2.208790560702825,,-2.208790560702825,-2.208790560702825
83,Y_t3,3.194570090282225,,3.194570090282225,3.194570090282225
84,Y_t2,-1.8844409281132053,,-1.8844409281132053,-1.8844409281132053
84,Y_t3,-4.945580305818107,,-4.945580305818107,-4.945580305818107
86,Y_t3,-4.188807647982145,,-4.188807647982145,-4.188807647982145
89,Y_t3,-2.400535860503076,,-2.400535860503076,-2.400535860503076
91,Y_t3,4.255411515906818,,4.255411515906818,4.255411515906818
94,Y_t2,-0.7651873625402192,,-0.7651873625402192,-0.7651873625402192
94,Y_t3,1.2665445474433055,,1.2665445474433055,1.2665445474433055
95,Y_t2,1.0975549519491632,,1.0975549519491632,1.0975549519491632
95,Y_t3,-1.9450210840451108,,-1.9450210840451108,-1.9450210840451108
96,Y_t3,-8.53786113267776,,-8.53786113267776,-8.53786113267776
97,Y_t3,-0.6125882056733276,,-0.6125882056733276,-0.6125882056733276
98,Y_t3,2.4771072580335542,,2.4771072580335542,2.4771072580335542
99,Y_t3,1.6199481602918064,,1.6199481602918064,1.6199481602918064
100,Y_t2,0.5199198605878266,,0.5199198605878266,0.5199198605878266
100,Y_t3,-1.4714806448496895,,-1.4714806448496895,-1.4714806448496895
101,Y_t2,1.3126557317502112,,1.3126557317502112,1.3126557317502112
101,Y_t3,-1.006383981831326,,-1.006383981831326,-1.006383981831326
102,Y_t3,-3.4189869773312704,,-3.4189869773312704,-3.4189869773312704
103,Y_t2,2.732675012271387,,2.732675012271387,2.732675012271387
103,Y_t3,-2.9885791815346323,,-2.9885791815346323,-2.9885791815346323
104,Y_t2,1.8179335115849382,,1.8179335115849382,1.8179335115849382
104,Y_t3,10.504683693725704,,10.504683693725704,10.504683693725704
105,Y_t2,-2.6550766774029215,,-2.6550766774029215,-2.6550766774029215
105,Y_t3,-1.2129349258121356,,-1.2129349258121356,-1.2129349258121356
107,Y_t3,0.3317347920252039,,0.3317347920252039,0.3317347920252039
108,Y_t3,-2.5884346120958717,,-2.5884346120958717,-2.5884346120958717
109,Y_t2,-7.921360429310278,,-7.921360429310278,-7.921360429310278
109,Y_t3,1.0602658273468153,,1.0602658273468153,1.0602658273468153
112,Y_t2,3.4954589207971267,,3.4954589207971267,3.4954589207971267
112,Y_t3,-5.163457220520344,,-5.163457220520344,-5.163457220520344
