Rank_by_RMSE,Model,Z,mu_prior_sd,tau_halfcauchy_scale,sigma_y_used,sigma_c_used,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage,Rhat_mu,Rhat_tau,tau_accept_rate,Method_Type
52,Ind_FixedZ0p9_muSD5_HC1p0_sigY1p7_sigC0p849,0.9,5.0,1.0,1.6975639410640113,0.8487819705320057,1.775774696432178,0.16719852654609355,1.7697981253479036,0.9352051835853131,1.1147229439164408,3.5316408510801356,0.2135,Bayesian independent fixed Z
53,Ind_FixedZ0p9_muSD10_HC1p0_sigY1p7_sigC0p849,0.9,10.0,1.0,1.6975639410640113,0.8487819705320057,1.7757757416800777,0.16720962750338741,1.7697981253479036,0.9352051835853131,1.114722493516486,3.5316408510801356,0.2135,Bayesian independent fixed Z
54,Ind_FixedZ0p9_muSD5_HC2p5_sigY1p7_sigC1p02,0.9,5.0,2.5,1.6975639410640113,1.0185383646384067,1.776062222841157,0.14851168435591636,1.7717565460680298,0.9330453563714903,1.13498734876829,1.3724272205786796,0.192,Bayesian independent fixed Z
55,Ind_FixedZ0p9_muSD10_HC2p5_sigY1p7_sigC1p02,0.9,10.0,2.5,1.6975639410640113,1.0185383646384067,1.7760632795404334,0.14852432096690354,1.7717565460680296,0.9330453563714903,1.1349928483956198,1.3724272205786796,0.192,Bayesian independent fixed Z
56,Ind_FixedZ0p9_muSD5_HC2p5_sigY2p04_sigC1p19,0.9,5.0,2.5,2.0370767292768135,1.1882947587448078,1.7762866153572552,0.14679311547810772,1.7721254765181464,0.9697624190064795,1.4141743603182388,1.0289667543423282,0.2215,Bayesian independent fixed Z
57,Ind_FixedZ0p9_muSD10_HC2p5_sigY2p04_sigC1p19,0.9,10.0,2.5,2.0370767292768135,1.1882947587448078,1.7762880675897976,0.1468106873368987,1.7721254765181464,0.9697624190064795,1.4142017213460871,1.0289667543423282,0.2215,Bayesian independent fixed Z
58,Ind_FixedZ0p9_muSD5_HC5p0_sigY2p04_sigC1p19,0.9,5.0,5.0,2.0370767292768135,1.1882947587448078,1.7765152993064177,0.13874464938471057,1.7730048074490983,0.9654427645788337,1.246240295952808,1.2020179647462481,0.219,Bayesian independent fixed Z
59,Ind_FixedZ0p9_muSD10_HC5p0_sigY2p04_sigC1p19,0.9,10.0,5.0,2.0370767292768135,1.1882947587448078,1.7765166418368774,0.1387618383652026,1.7730048074490983,0.9654427645788337,1.2462392732225716,1.2020179647462481,0.219,Bayesian independent fixed Z
60,Ind_FixedZ0p9_muSD5_HC1p0_sigY1p36_sigC1p02,0.9,5.0,1.0,1.3580511528512091,1.0185383646384067,1.776726470272427,0.12733985740944845,1.774074186661784,0.8984881209503239,1.0761639145490254,1.2316885974090948,0.1935,Bayesian independent fixed Z
61,Ind_FixedZ0p9_muSD10_HC1p0_sigY1p36_sigC1p02,0.9,10.0,1.0,1.3580511528512091,1.0185383646384067,1.7767271429598603,0.12734924282715335,1.774074186661784,0.8984881209503239,1.0761641128828445,1.2316885974090948,0.1935,Bayesian independent fixed Z
62,Ind_FixedZ0p9_muSD5_HC2p5_sigY2p04_sigC1p36,0.9,5.0,2.5,2.0370767292768135,1.3580511528512091,1.7769262603207874,0.14500864610885064,1.77291518609894,0.9676025917926566,1.0181847339182133,0.999913351176304,0.213,Bayesian independent fixed Z
63,Ind_FixedZ0p9_muSD10_HC2p5_sigY2p04_sigC1p36,0.9,10.0,2.5,2.0370767292768135,1.3580511528512091,1.7769278651537919,0.14502831030083735,1.77291518609894,0.9676025917926566,1.0181867903744604,0.999913351176304,0.213,Bayesian independent fixed Z
64,Ind_FixedZ0p9_muSD5_HC1p0_sigY1p7_sigC1p19,0.9,5.0,1.0,1.6975639410640113,1.1882947587448078,1.7770074411753884,0.13437790285451126,1.7738359305157259,0.9352051835853131,1.3550583436345873,1.0025884577781488,0.21300000000000002,Bayesian independent fixed Z
65,Ind_FixedZ0p9_muSD10_HC1p0_sigY1p7_sigC1p19,0.9,10.0,1.0,1.6975639410640113,1.1882947587448078,1.777008464145516,0.13439142988926325,1.7738359305157259,0.9352051835853131,1.3550686114282158,1.0025884577781488,0.21300000000000002,Bayesian independent fixed Z
